id,bureau,adresse,cp,ville,latitude,longitude,result_label,result_score,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode
2,2,À LA GARE D'ABLON-SUR-SEINE,94480.0,ABLON-SUR-SEINE,48.721501,2.414158,Rue d'Ablon 94480 Ablon-sur-Seine,0.55,street,94001_0005_91c2fd,,Rue d'Ablon,,94480.0,Ablon-sur-Seine,"94, Val-de-Marne, Île-de-France",94001.0
3,1,,94480.0,ABLON-SUR-SEINE,48.725322999999996,2.420865,Ablon-sur-Seine,0.65,town,94001,,Ablon-sur-Seine,,94480.0,Ablon-sur-Seine,"94, Val-de-Marne, Île-de-France",94001.0
4,1,36 BIS RUE DU BAC,94480.0,ABLON-SUR-SEINE,48.724061999999996,2.4193029999999998,36 BIS Impasse du Bac 94480 Ablon-sur-Seine,0.71,housenumber,ADRNIVX_0000000271051249,36 BIS,Impasse du Bac,,94480.0,Ablon-sur-Seine,"94, Val-de-Marne, Île-de-France",94001.0
5,4,4 QUATER RUE DES BELGES,94480.0,ABLON-SUR-SEINE,48.725082,2.4254849999999997,Rue des Belges 94480 Ablon-sur-Seine,0.73,street,94001_0060_a3d92c,,Rue des Belges,,94480.0,Ablon-sur-Seine,"94, Val-de-Marne, Île-de-France",94001.0
6,4,5 7 RUE DE LA CIE PARIS-ORLÉANS,94480.0,ABLON-SUR-SEINE,48.725249,2.4279439999999997,Rue de la Compagnie Paris-Orléans 94480 Ablon-sur-Seine,0.73,street,94001_XXXX_31e63b,,Rue de la Compagnie Paris-Orléans,,94480.0,Ablon-sur-Seine,"94, Val-de-Marne, Île-de-France",94001.0
7,2,4 TER RUE DU GÉNÉRAL DE GAULLE,94480.0,ABLON-SUR-SEINE,48.725927,2.418685,4 T Avenue du Général de Gaulle 94480 Ablon-sur-Seine,0.74,housenumber,ADRNIVX_0000000271049970,4 T,Avenue du Général de Gaulle,,94480.0,Ablon-sur-Seine,"94, Val-de-Marne, Île-de-France",94001.0
8,2,13   RUE SIMON,,ABLON-SUR-SEINE,48.724532,2.4238560000000002,13 Rue Simon 94480 Ablon-sur-Seine,0.75,housenumber,ADRNIVX_0000000271050867,13,Rue Simon,,94480.0,Ablon-sur-Seine,"94, Val-de-Marne, Île-de-France",94001.0
9,2,4 B RUE DU COLONEL P BROSSOLETTE,94480.0,ABLON-SUR-SEINE,48.725753000000005,2.42033,4 BIS Rue du Colonel Pierre Brossolette 94480 Ablon-sur-Seine,0.75,housenumber,ADRNIVX_0000000271049968,4 BIS,Rue du Colonel Pierre Brossolette,,94480.0,Ablon-sur-Seine,"94, Val-de-Marne, Île-de-France",94001.0
10,1,2   IMPASSE DE L'ABBÉ LASSAILLY,94480.0,ABLON-SUR-SEINE,48.721919,2.417592,2 Passage de l'Abbé Lassailly 94480 Ablon-sur-Seine,0.78,housenumber,ADRNIVX_0000000312900092,2,Passage de l'Abbé Lassailly,,94480.0,Ablon-sur-Seine,"94, Val-de-Marne, Île-de-France",94001.0
11,2,9 B RUE DU MARÉCHAL FOCH,94480.0,ABLON-SUR-SEINE,48.724909999999994,2.4207560000000004,9 BIS Rue Maréchal Foch 94480 Ablon-sur-Seine,0.78,housenumber,ADRNIVX_0000000271050550,9 BIS,Rue Maréchal Foch,,94480.0,Ablon-sur-Seine,"94, Val-de-Marne, Île-de-France",94001.0
12,3,2 BIS IMPASSE GEUFFRON,94480.0,ABLON-SUR-SEINE,48.720696999999994,2.416187,Impasse Geuffron 94480 Ablon-sur-Seine,0.78,street,94001_0300_416e84,,Impasse Geuffron,,94480.0,Ablon-sur-Seine,"94, Val-de-Marne, Île-de-France",94001.0
13,4,1   RUE ARISTIDE BRIAND,94480.0,ABLON-SUR-SEINE,48.724619,2.4271119999999997,1 Avenue Aristide Briand 94480 Ablon-sur-Seine,0.78,housenumber,ADRNIVX_0000000271050850,1,Avenue Aristide Briand,,94480.0,Ablon-sur-Seine,"94, Val-de-Marne, Île-de-France",94001.0
14,4,10   RUE ARISTIDE BRIAND,94480.0,ABLON-SUR-SEINE,48.725128999999995,2.4269369999999997,10 Avenue Aristide Briand 94480 Ablon-sur-Seine,0.78,housenumber,ADRNIVX_0000000271050512,10,Avenue Aristide Briand,,94480.0,Ablon-sur-Seine,"94, Val-de-Marne, Île-de-France",94001.0
15,4,11   RUE ARISTIDE BRIAND,94480.0,ABLON-SUR-SEINE,48.725359999999995,2.4262099999999998,11 Avenue Aristide Briand 94480 Ablon-sur-Seine,0.78,housenumber,ADRNIVX_0000000271050205,11,Avenue Aristide Briand,,94480.0,Ablon-sur-Seine,"94, Val-de-Marne, Île-de-France",94001.0
16,4,12   RUE ARISTIDE BRIAND,94480.0,ABLON-SUR-SEINE,48.725239,2.426877,12 Avenue Aristide Briand 94480 Ablon-sur-Seine,0.78,housenumber,ADRNIVX_0000000271050513,12,Avenue Aristide Briand,,94480.0,Ablon-sur-Seine,"94, Val-de-Marne, Île-de-France",94001.0
17,4,13   RUE ARISTIDE BRIAND,94480.0,ABLON-SUR-SEINE,48.725408,2.426037,13 Avenue Aristide Briand 94480 Ablon-sur-Seine,0.78,housenumber,ADRNIVX_0000000271050207,13,Avenue Aristide Briand,,94480.0,Ablon-sur-Seine,"94, Val-de-Marne, Île-de-France",94001.0
18,4,16   RUE ARISTIDE BRIAND,94480.0,ABLON-SUR-SEINE,48.725665,2.4254830000000003,16 Avenue Aristide Briand 94480 Ablon-sur-Seine,0.78,housenumber,ADRNIVX_0000000271050211,16,Avenue Aristide Briand,,94480.0,Ablon-sur-Seine,"94, Val-de-Marne, Île-de-France",94001.0
19,4,2   RUE ARISTIDE BRIAND,94480.0,ABLON-SUR-SEINE,48.724672999999996,2.4271830000000003,2 Avenue Aristide Briand 94480 Ablon-sur-Seine,0.78,housenumber,ADRNIVX_0000000271050851,2,Avenue Aristide Briand,,94480.0,Ablon-sur-Seine,"94, Val-de-Marne, Île-de-France",94001.0
20,4,3   RUE ARISTIDE BRIAND,94480.0,ABLON-SUR-SEINE,48.724835,2.426936,3 Avenue Aristide Briand 94480 Ablon-sur-Seine,0.78,housenumber,ADRNIVX_0000000271050852,3,Avenue Aristide Briand,,94480.0,Ablon-sur-Seine,"94, Val-de-Marne, Île-de-France",94001.0
21,4,4   RUE ARISTIDE BRIAND,94480.0,ABLON-SUR-SEINE,48.724790999999996,2.427135,4 Avenue Aristide Briand 94480 Ablon-sur-Seine,0.78,housenumber,ADRNIVX_0000000271050853,4,Avenue Aristide Briand,,94480.0,Ablon-sur-Seine,"94, Val-de-Marne, Île-de-France",94001.0
22,4,5   RUE ARISTIDE BRIAND,94480.0,ABLON-SUR-SEINE,48.725027000000004,2.4268330000000002,5 Avenue Aristide Briand 94480 Ablon-sur-Seine,0.78,housenumber,ADRNIVX_0000000271050508,5,Avenue Aristide Briand,,94480.0,Ablon-sur-Seine,"94, Val-de-Marne, Île-de-France",94001.0
23,4,7   RUE ARISTIDE BRIAND,94480.0,ABLON-SUR-SEINE,48.72526,2.426562,7 Avenue Aristide Briand 94480 Ablon-sur-Seine,0.78,housenumber,ADRNIVX_0000000271050514,7,Avenue Aristide Briand,,94480.0,Ablon-sur-Seine,"94, Val-de-Marne, Île-de-France",94001.0
24,4,8   RUE ARISTIDE BRIAND,94480.0,ABLON-SUR-SEINE,48.725015,2.4269979999999998,8 Avenue Aristide Briand 94480 Ablon-sur-Seine,0.78,housenumber,ADRNIVX_0000000271050511,8,Avenue Aristide Briand,,94480.0,Ablon-sur-Seine,"94, Val-de-Marne, Île-de-France",94001.0
25,2,10   RUE DU GÉNÉRAL DE GAULLE,94480.0,ABLON-SUR-SEINE,48.72675,2.418717,10 Avenue du Général de Gaulle 94480 Ablon-sur-Seine,0.79,housenumber,ADRNIVX_0000000271049379,10,Avenue du Général de Gaulle,,94480.0,Ablon-sur-Seine,"94, Val-de-Marne, Île-de-France",94001.0
